postal_code,country,time_init_utc,time_valid_utc,doy_utc,hour_utc,time_valid_lcl,dst_offset_minutes,temperature_air_2m_f,temperature_wetbulb_2m_f,temperature_dewpoint_2m_f,temperature_feelslike_2m_f,temperature_windchill_2m_f,temperature_heatindex_2m_f,humidity_relative_2m_pct,humidity_specific_2m_gpkg,pressure_2m_mb,pressure_mean_sea_level_mb,wind_speed_10m_mph,wind_direction_10m_deg,wind_speed_80m_mph,wind_direction_80m_deg,wind_speed_100m_mph,wind_direction_100m_deg,precipitation_in,snowfall_in,cloud_cover_pct,radiation_solar_total_wpm2
42368,US,2020-04-08 12:00:00 UTC,2020-04-08 12:00:00 UTC,99,12,2020-04-08 07:00:00 UTC,-60,65.21,64.73,64.48,65.21,65.21,65.21,97.5,13.12,989.35,1007.96,7.99,225.82,13.95,235.65,14.97,237.56,,,,
55358,US,2020-04-08 12:00:00 UTC,2020-04-08 12:00:00 UTC,99,12,2020-04-08 07:00:00 UTC,-60,45.23,41.34,36.56,41.99,41.99,45.23,71.48,4.72,972.58,1009.92,5.95,304.12,11.67,308.71,12.88,310.36,,,,
93614,US,2020-04-08 12:00:00 UTC,2020-04-14 08:00:00 UTC,105,8,2020-04-14 01:00:00 UTC,-60,52.1,46.18,39.75,50.39,50.39,52.1,62.69,5.48,952.88,1020.09,5.51,60.42,5.81,64.23,5.44,66.6,0.0,0.0,0,29.7
67548,US,2020-04-08 12:00:00 UTC,2020-04-15 01:00:00 UTC,106,1,2020-04-14 20:00:00 UTC,-60,53.04,43.06,25.45,51.73,51.98,53.04,34.5,3.13,941.03,1015.71,3.54,143.19,5.64,139.91,5.9,141.25,0.0,0.0,85,432.3
48386,US,2020-04-08 12:00:00 UTC,2020-04-15 01:00:00 UTC,106,1,2020-04-14 21:00:00 UTC,-60,33.9,28.68,13.59,24.77,24.77,33.9,42.8,1.79,980.66,1017.83,13.04,272.4,22.64,272.52,23.95,272.92,0.0,0.0,71,325.6
79508,US,2020-04-08 12:00:00 UTC,2020-04-15 01:00:00 UTC,106,1,2020-04-14 20:00:00 UTC,-60,50.88,44.42,36.65,50.31,50.31,50.88,58.34,4.85,951.82,1020.23,3.82,122.48,5.67,117.24,5.74,118.11,0.0,0.0,85,354.3
38048,US,2020-04-08 12:00:00 UTC,2020-04-14 01:00:00 UTC,105,1,2020-04-13 20:00:00 UTC,-60,45.22,40.33,33.39,40.6,40.6,45.22,63.05,4.04,1006.39,1020.63,8.34,17.16,15.32,19.3,16.28,19.76,0.0,0.0,17,391.5
43542,US,2020-04-08 12:00:00 UTC,2020-04-14 01:00:00 UTC,105,1,2020-04-13 21:00:00 UTC,-60,38.01,32.28,18.24,29.5,29.5,38.01,44.58,2.18,991.1,1016.16,14.34,266.6,24.2,269.77,25.59,270.27,0.0,0.0,45,298.9
70342,US,2020-04-08 12:00:00 UTC,2020-04-14 01:00:00 UTC,105,1,2020-04-13 20:00:00 UTC,-60,68.29,63.26,60.35,71.72,68.29,71.72,76.11,11.13,1013.31,1014.18,7.47,16.53,14.29,19.64,15.17,20.46,0.0,0.0,0,429.5
70380,US,2020-04-08 12:00:00 UTC,2020-04-14 01:00:00 UTC,105,1,2020-04-13 20:00:00 UTC,-60,68.29,63.26,60.35,71.72,68.29,71.72,76.11,11.13,1013.31,1014.18,7.47,16.53,14.29,19.64,15.17,20.46,0.0,0.0,0,429.5
81022,US,2020-04-08 12:00:00 UTC,2020-04-10 12:00:00 UTC,101,12,2020-04-10 06:00:00 UTC,-60,41.89,37.66,32.37,38.15,38.15,41.89,68.72,4.55,854.06,1015.08,5.74,136.62,6.97,139.69,7.11,140.05,0.0,0.0,94,0.0
